"X","variable","value"
1,"X1",331
2,"X1",29
3,"X1",9
4,"X1",4
5,"X1",4
6,"X1",1
7,"X1",1
8,"X1",2
9,"X1",1
10,"X1",0
11,"X1",0
12,"X1",0
13,"X1",1
14,"X1",0
15,"X1",0
16,"X1",0
17,"X1",0
18,"X1",0
19,"X1",0
20,"X1",0
21,"X1",0
22,"X1",0
23,"X1",0
1,"X2",345
2,"X2",32
3,"X2",7
4,"X2",8
5,"X2",2
6,"X2",1
7,"X2",1
8,"X2",0
9,"X2",2
10,"X2",0
11,"X2",0
12,"X2",0
13,"X2",0
14,"X2",0
15,"X2",0
16,"X2",0
17,"X2",0
18,"X2",0
19,"X2",0
20,"X2",0
21,"X2",0
22,"X2",0
23,"X2",0
1,"X3",343
2,"X3",29
3,"X3",10
4,"X3",4
5,"X3",2
6,"X3",2
7,"X3",0
8,"X3",0
9,"X3",1
10,"X3",0
11,"X3",1
12,"X3",0
13,"X3",0
14,"X3",1
15,"X3",0
16,"X3",0
17,"X3",0
18,"X3",0
19,"X3",0
20,"X3",0
21,"X3",0
22,"X3",0
23,"X3",0
1,"X4",361
2,"X4",34
3,"X4",4
4,"X4",5
5,"X4",1
6,"X4",1
7,"X4",1
8,"X4",3
9,"X4",0
10,"X4",0
11,"X4",0
12,"X4",0
13,"X4",0
14,"X4",0
15,"X4",0
16,"X4",0
17,"X4",0
18,"X4",0
19,"X4",0
20,"X4",0
21,"X4",0
22,"X4",0
23,"X4",0
1,"X5",366
2,"X5",26
3,"X5",8
4,"X5",5
5,"X5",1
6,"X5",2
7,"X5",2
8,"X5",0
9,"X5",0
10,"X5",1
11,"X5",0
12,"X5",0
13,"X5",0
14,"X5",0
15,"X5",0
16,"X5",0
17,"X5",0
18,"X5",0
19,"X5",0
20,"X5",0
21,"X5",0
22,"X5",0
23,"X5",0
1,"X6",354
2,"X6",31
3,"X6",16
4,"X6",6
5,"X6",3
6,"X6",0
7,"X6",0
8,"X6",0
9,"X6",0
10,"X6",0
11,"X6",0
12,"X6",0
13,"X6",0
14,"X6",0
15,"X6",0
16,"X6",0
17,"X6",0
18,"X6",0
19,"X6",0
20,"X6",0
21,"X6",0
22,"X6",0
23,"X6",0
1,"X7",367
2,"X7",34
3,"X7",6
4,"X7",3
5,"X7",1
6,"X7",1
7,"X7",1
8,"X7",0
9,"X7",1
10,"X7",0
11,"X7",1
12,"X7",0
13,"X7",0
14,"X7",0
15,"X7",0
16,"X7",0
17,"X7",0
18,"X7",0
19,"X7",0
20,"X7",0
21,"X7",0
22,"X7",0
23,"X7",0
1,"X8",347
2,"X8",35
3,"X8",13
4,"X8",4
5,"X8",2
6,"X8",1
7,"X8",1
8,"X8",1
9,"X8",0
10,"X8",0
11,"X8",0
12,"X8",0
13,"X8",0
14,"X8",0
15,"X8",0
16,"X8",0
17,"X8",0
18,"X8",0
19,"X8",0
20,"X8",0
21,"X8",0
22,"X8",0
23,"X8",0
1,"X9",333
2,"X9",35
3,"X9",9
4,"X9",6
5,"X9",2
6,"X9",5
7,"X9",0
8,"X9",0
9,"X9",1
10,"X9",0
11,"X9",0
12,"X9",0
13,"X9",0
14,"X9",0
15,"X9",0
16,"X9",0
17,"X9",0
18,"X9",0
19,"X9",0
20,"X9",0
21,"X9",0
