"X","variable","value"
1,"1",298
2,"1",35
3,"1",9
4,"1",5
5,"1",3
6,"1",1
7,"1",0
8,"1",1
9,"1",1
10,"1",0
11,"1",0
12,"1",0
13,"1",0
14,"1",0
15,"1",0
16,"1",0
17,"1",0
18,"1",0
19,"1",0
20,"1",0
21,"1",0
22,"1",0
23,"1",0
1,"2",307
2,"2",36
3,"2",7
4,"2",6
5,"2",1
6,"2",2
7,"2",0
8,"2",0
9,"2",0
10,"2",0
11,"2",0
12,"2",1
13,"2",0
14,"2",0
15,"2",0
16,"2",0
17,"2",0
18,"2",0
19,"2",0
20,"2",0
21,"2",0
22,"2",0
23,"2",0
1,"3",315
2,"3",30
3,"3",7
4,"3",5
5,"3",2
6,"3",0
7,"3",0
8,"3",2
9,"3",0
10,"3",0
11,"3",1
12,"3",0
13,"3",0
14,"3",0
15,"3",0
16,"3",0
17,"3",0
18,"3",0
19,"3",0
20,"3",0
21,"3",0
22,"3",0
23,"3",0
1,"4",316
2,"4",30
3,"4",6
4,"4",8
5,"4",1
6,"4",0
7,"4",0
8,"4",0
9,"4",1
10,"4",0
11,"4",0
12,"4",0
13,"4",1
14,"4",0
15,"4",0
16,"4",0
17,"4",0
18,"4",0
19,"4",0
20,"4",0
21,"4",0
22,"4",0
23,"4",0
1,"5",318
2,"5",30
3,"5",10
4,"5",2
5,"5",1
6,"5",0
7,"5",2
8,"5",1
9,"5",0
10,"5",1
11,"5",0
12,"5",0
13,"5",0
14,"5",0
15,"5",0
16,"5",0
17,"5",0
18,"5",0
19,"5",0
20,"5",0
21,"5",0
22,"5",0
23,"5",0
1,"6",311
2,"6",26
3,"6",15
4,"6",4
5,"6",1
6,"6",1
7,"6",1
8,"6",0
9,"6",0
10,"6",0
11,"6",1
12,"6",0
13,"6",0
14,"6",0
15,"6",0
16,"6",0
17,"6",0
18,"6",0
19,"6",0
20,"6",0
21,"6",0
22,"6",0
23,"6",0
1,"7",312
2,"7",31
3,"7",7
4,"7",5
5,"7",1
6,"7",0
7,"7",1
8,"7",1
9,"7",2
10,"7",0
11,"7",0
12,"7",0
13,"7",0
14,"7",0
15,"7",0
16,"7",0
17,"7",0
18,"7",0
19,"7",0
20,"7",0
21,"7",0
22,"7",0
23,"7",0
1,"8",321
2,"8",26
3,"8",8
4,"8",4
5,"8",1
6,"8",2
7,"8",1
8,"8",2
9,"8",0
10,"8",0
11,"8",0
12,"8",0
13,"8",0
14,"8",0
15,"8",0
16,"8",0
17,"8",0
18,"8",0
19,"8",0
20,"8",0
21,"8",0
22,"8",0
23,"8",0
1,"9",311
2,"9",34
3,"9",9
4,"9",3
5,"9",1
6,"9",1
7,"9",1
8,"9",1
9,"9",1
10,"9",0
11,"9",0
12,"9",0
13,"9",0
14,"9",0
15,"9",0
16,"9",0
17,"9",0
18,"9",0
19,"9",0
20,"9",0
21,"9",0
22,"9",0
23,"9",0
1,"10",306
2,"10",34
3,"10",9
4,"10",2
5,"10",3
6,"10",0
7,"10",0
8,"10",1
9,"10",1
10,"10",0
11,"10",0
12,"10",1
13,"10",0
14,"10",0
15,"10",0
16,"10",0
17,"10",0
18,"10",0
19,"10",0
20,"10",0
21,"10",0
22,"10",0
23,"10",0
1,"11",311
2,"11",31
3,"11",14
4,"11",2
5,"11",3
6,"11",0
7,"11",1
8,"11",1
9,"11",0
10,"11",0
11,"11",0
12,"11",0
13,"11",0
14,"11",0
15,"11",0
16,"11",0
17,"11",0
18,"11",0
19,"11",0
20,"11",0
21,"11",0
22,"11",0
23,"11",0
1,"12",302
2,"12",35
3,"12",9
4,"12",3
5,"12",1
6,"12",3
7,"12",0
8,"12",1
9,"12",0
10,"12",0
11,"12",1
12,"12",0
13,"12",0
14,"12",0
15,"12",0
16,"12",0
17,"12",0
18,"12",0
19,"12",0
20,"12",0
21,"12",0
22,"12",0
23,"12",0
1,"13",298
2,"13",31
3,"13",12
4,"13",2
5,"13",3
6,"13",1
7,"13",0
8,"13",1
9,"13",0
10,"13",2
11,"13",0
12,"13",0
13,"13",0
14,"13",0
15,"13",0
16,"13",0
17,"13",0
18,"13",0
19,"13",0
20,"13",0
21,"13",0
22,"13",0
23,"13",0
1,"14",310
2,"14",31
3,"14",9
4,"14",5
5,"14",4
6,"14",1
7,"14",0
8,"14",1
9,"14",0
10,"14",0
11,"14",0
12,"14",0
13,"14",0
14,"14",0
15,"14",0
16,"14",0
17,"14",0
18,"14",0
19,"14",0
20,"14",0
21,"14",0
22,"14",0
